Device	Pixel	Sweep Direction	Scan number	Variable	Pin[mW/cm2]	Voc[V]	Jsc[mA/cm2]	FF[%]	PCE[%]	Sweep Speed	Measurement Start Date
B9	p6	Fw	0	NOcTiO2_spiro	100.00	0.74	18.04	36.62	4.89	50.0	2020-07-18 08:00:00
B9	p7	Rv	0	NOcTiO2_spiro	100.00	1.05	20.15	51.97	10.99	50.0	2020-07-18 08:00:00
B9	p7	Fw	0	NOcTiO2_spiro	100.00	0.73	19.02	38.08	5.29	50.0	2020-07-18 08:00:00
B9	p8	Rv	0	NOcTiO2_spiro	100.00	1.04	19.58	58.89	11.99	50.0	2020-07-18 08:00:00
B9	p8	Fw	0	NOcTiO2_spiro	100.00	0.78	18.61	39.29	5.7	50.0	2020-07-18 08:00:00
B6	p1	Rv	0	cTiO2_spiro	100.00	1.11	19.81	67.2	14.78	50.0	2020-07-18 08:00:00
B6	p1	Fw	0	cTiO2_spiro	100.00	1.03	18.96	53.78	10.5	50.0	2020-07-18 08:00:00
B6	p2	Rv	0	cTiO2_spiro	100.00	1.1	19.07	61.99	13.0	50.0	2020-07-18 08:00:00
B6	p2	Fw	0	cTiO2_spiro	100.00	nan	nan	nan	nan	50.0	2020-07-18 08:00:00
B6	p3	Rv	0	cTiO2_spiro	100.00	1.11	20.67	67.02	15.38	50.0	2020-07-18 08:00:00
B6	p3	Fw	0	cTiO2_spiro	100.00	1.03	19.83	54.76	11.18	50.0	2020-07-18 08:00:00
B6	p4	Rv	0	cTiO2_spiro	100.00	1.09	19.51	67.99	14.46	50.0	2020-07-18 08:00:00
B6	p4	Fw	0	cTiO2_spiro	100.00	1.03	18.76	54.78	10.58	50.0	2020-07-18 08:00:00
B6	p5	Rv	0	cTiO2_spiro	100.00	1.11	21.1	66.3	15.53	50.0	2020-07-18 08:00:00
B6	p5	Fw	0	cTiO2_spiro	100.00	1.03	20.22	54.88	11.43	50.0	2020-07-18 08:00:00
B6	p6	Rv	0	cTiO2_spiro	100.00	1.1	19.63	66.78	14.42	50.0	2020-07-18 08:00:00
B6	p6	Fw	0	cTiO2_spiro	100.00	1.03	18.88	55.03	10.7	50.0	2020-07-18 08:00:00
B6	p7	Rv	0	cTiO2_spiro	100.00	1.11	19.77	66.4	14.57	50.0	2020-07-18 08:00:00
B6	p7	Fw	0	cTiO2_spiro	100.00	1.03	19.01	55.32	10.83	50.0	2020-07-18 08:00:00
B6	p8	Rv	0	cTiO2_spiro	100.00	1.1	19.17	67.08	14.15	50.0	2020-07-18 08:00:00
B6	p8	Fw	0	cTiO2_spiro	100.00	1.03	18.5	55.39	10.55	50.0	2020-07-18 08:00:00
A100	p1	Rv	0	cTiO2_ptaa	100.00	0.97	20.45	68.25	13.54	50.0	2020-07-18 08:00:00
A100	p1	Fw	0	cTiO2_ptaa	100.00	0.99	20.49	46.9	9.51	50.0	2020-07-18 08:00:00
A100	p2	Rv	0	cTiO2_ptaa	100.00	1.02	18.24	64.63	12.02	50.0	2020-07-18 08:00:00
A100	p2	Fw	0	cTiO2_ptaa	100.00	0.99	18.35	46.89	8.52	50.0	2020-07-18 08:00:00
A100	p3	Rv	0	cTiO2_ptaa	100.00	0.97	17.58	68.9	11.75	50.0	2020-07-18 08:00:00
A100	p3	Fw	0	cTiO2_ptaa	100.00	1.0	17.57	46.82	8.23	50.0	2020-07-18 08:00:00
A100	p4	Rv	0	cTiO2_ptaa	100.00	0.95	15.46	68.03	9.99	50.0	2020-07-18 08:00:00
A100	p4	Fw	0	cTiO2_ptaa	100.00	1.0	15.57	46.29	7.21	50.0	2020-07-18 08:00:00
A100	p5	Rv	0	cTiO2_ptaa	100.00	0.96	15.84	67.4	10.25	50.0	2020-07-18 08:00:00
A100	p5	Fw	0	cTiO2_ptaa	100.00	1.0	15.8	45.5	7.19	50.0	2020-07-18 08:00:00
A100	p6	Rv	0	cTiO2_ptaa	100.00	0.95	15.29	67.23	9.77	50.0	2020-07-18 08:00:00
A100	p6	Fw	0	cTiO2_ptaa	100.00	1.0	15.53	45.24	7.03	50.0	2020-07-18 08:00:00
A100	p7	Rv	0	cTiO2_ptaa	100.00	0.98	17.17	67.06	11.28	50.0	2020-07-18 08:00:00
A100	p7	Fw	0	cTiO2_ptaa	100.00	1.0	17.39	46.39	8.07	50.0	2020-07-18 08:00:00
A100	p8	Rv	0	cTiO2_ptaa	100.00	1.02	17.0	63.4	10.99	50.0	2020-07-18 08:00:00
A100	p8	Fw	0	cTiO2_ptaa	100.00	1.0	17.24	46.15	7.96	50.0	2020-07-18 08:00:00
B5	p1	Rv	0	cTiO2_spiro	100.00	1.1	20.36	65.94	14.77	50.0	2020-07-18 08:00:00
B5	p1	Fw	0	cTiO2_spiro	100.00	1.03	19.69	54.21	10.99	50.0	2020-07-18 08:00:00
B5	p2	Rv	0	cTiO2_spiro	100.00	1.09	19.41	67.07	14.19	50.0	2020-07-18 08:00:00
B5	p2	Fw	0	cTiO2_spiro	100.00	1.03	18.75	55.08	10.64	50.0	2020-07-18 08:00:00
B5	p3	Rv	0	cTiO2_spiro	100.00	1.11	21.15	65.67	15.42	50.0	2020-07-18 08:00:00
B5	p3	Fw	0	cTiO2_spiro	100.00	1.03	20.45	55.53	11.7	50.0	2020-07-18 08:00:00
B5	p4	Rv	0	cTiO2_spiro	100.00	1.09	19.63	67.04	14.34	50.0	2020-07-18 08:00:00
B5	p4	Fw	0	cTiO2_spiro	100.00	1.03	19.04	56.37	11.05	50.0	2020-07-18 08:00:00
B5	p5	Rv	0	cTiO2_spiro	100.00	1.1	22.07	65.83	15.98	50.0	2020-07-18 08:00:00
B5	p5	Fw	0	cTiO2_spiro	100.00	1.03	21.4	56.44	12.44	50.0	2020-07-18 08:00:00
B5	p6	Rv	0	cTiO2_spiro	100.00	1.09	20.14	66.56	14.61	50.0	2020-07-18 08:00:00
B5	p6	Fw	0	cTiO2_spiro	100.00	1.03	19.56	56.06	11.29	50.0	2020-07-18 08:00:00
B5	p7	Rv	0	cTiO2_spiro	100.00	1.09	20.53	66.17	14.81	50.0	2020-07-18 08:00:00
B5	p7	Fw	0	cTiO2_spiro	100.00	1.03	19.95	55.86	11.48	50.0	2020-07-18 08:00:00
B5	p8	Rv	0	cTiO2_spiro	100.00	1.09	19.45	66.74	14.15	50.0	2020-07-18 08:00:00
B5	p8	Fw	0	cTiO2_spiro	100.00	1.03	18.91	55.7	10.85	50.0	2020-07-18 08:00:00
