A100__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p1__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p1__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p2__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p3__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p4__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p5__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p6__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p7__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Rv__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Fw__scan0	A100__cTiO2_ptaa__p8__1.0Sun__Fw__scan0
0.597349	19.757	0.3091	19.679	0.593721	17.782	0.307276	17.597	0.589885	17.219	0.303454	16.889999999999997	0.591717	15.171000000000001	0.308367	14.719	0.591912	15.487	0.308966	14.886999999999999	0.596066	14.908	0.313278	14.666	0.595745	16.741	0.308786	16.604	0.592197	16.529	0.304801	16.477
0.546323	20.024	0.351105	19.423	0.547722	17.942	0.352841	17.322	0.547959	17.304	0.353736	16.605	0.549423	15.248	0.354877	14.449	0.543777	15.572000000000001	0.349806	14.652	0.546063	15.049999999999999	0.351224	14.469	0.545333	16.938000000000002	0.350357	16.363	0.545226	16.688000000000002	0.351271	16.195999999999998
0.4979	20.165	0.396538	19.039	0.500117	18.044	0.393444	17.013	0.50072	17.410999999999998	0.398533	16.285	0.497949	15.314	0.397341	14.182	0.500508	15.616	0.399016	14.272	0.499236	15.100000000000001	0.397311	14.142	0.502675	16.958000000000002	0.396099	16.018	0.502208	16.746000000000002	0.400988	15.808
0.453354	20.232	0.441051	18.555	0.456629	18.091	0.440992	16.549	0.457937	17.438	0.438084	15.961	0.457366	15.302	0.442606	13.795	0.456842	15.692000000000002	0.438965	13.943999999999999	0.460943	15.043000000000001	0.443064	13.719999999999999	0.453934	17.0	0.440427	15.609	0.453347	16.788	0.441059	15.454
0.408255	20.282	0.48404	17.96	0.407875	18.095	0.483855	16.057	0.409402	17.491	0.484124	15.424	0.406842	15.315000000000001	0.486756	13.370999999999999	0.40806	15.696000000000002	0.486246	13.442	0.405294	15.106	0.484914	13.32	0.409539	17.031000000000002	0.487484	15.082999999999998	0.40887	16.796	0.483942	14.992
0.363087	20.320999999999998	0.529274	17.209	0.368335	18.105	0.528527	15.408	0.365674	17.482	0.529425	14.836	0.361672	15.303	0.528336	12.9	0.363985	15.713999999999999	0.528661	12.931	0.359713	15.109	0.52563	12.815999999999999	0.364343	17.021	0.528473	14.565	0.364371	16.823	0.52549	14.446
0.317612	20.337999999999997	0.57192	16.396	0.314874	18.141000000000002	0.568352	14.785	0.316963	17.519	0.569773	14.225	0.316285	15.327	0.573134	12.315	0.319815	15.723999999999998	0.574654	12.285	0.319222	15.082999999999998	0.569705	12.192	0.319302	17.02	0.568832	13.972	0.319501	16.836	0.5736	13.649
0.272093	20.328	0.609501	15.608	0.275121	18.127000000000002	0.614172	13.869	0.272631	17.502	0.612852	13.424	0.275289	15.306000000000001	0.613508	11.749	0.275898	15.732	0.61556	11.68	0.273698	15.100999999999999	0.61648	11.394	0.270066	17.037	0.614718	13.116	0.274642	16.836	0.61346	12.969
0.233379	20.361	0.655432	14.381	0.231179	18.131	0.659099	12.901	0.233614	17.497	0.658121	12.482999999999999	0.224919	15.336	0.659912	10.885	0.227176	15.745	0.662505	10.796999999999999	0.22837	15.11	0.658887	10.663	0.230042	17.048000000000002	0.656519	12.286999999999999	0.229688	16.871000000000002	0.659336	12.007
0.187037	20.36	0.700424	13.075	0.181978	18.169999999999998	0.699562	11.934999999999999	0.179653	17.528	0.703	11.423	0.184466	15.336	0.70544	9.994	0.183167	15.755999999999998	0.701056	10.128	0.182912	15.14	0.704183	9.73	0.185611	17.046	0.700428	11.264	0.180559	16.886000000000003	0.7044	10.979
0.141067	20.395	0.741671	11.824	0.137222	18.180000000000003	0.745261	10.626	0.140619	17.541	0.746709	10.283999999999999	0.140409	15.347	0.747416	9.12	0.13875	15.75	0.748187	9.037999999999998	0.137252	15.164	0.746362	8.8	0.136902	17.090999999999998	0.747539	9.995000000000001	0.140352	16.884	0.745353	9.995000000000001
0.094794	20.393	0.784857	10.299000000000001	0.09281	18.2	0.786342	9.439	0.091865	17.555	0.789405	9.072999999999999	0.093209	15.367	0.791334	8.054	0.094755	15.77	0.788013	8.139000000000001	0.093774	15.195	0.791013	7.644	0.092822	17.111	0.790505	8.762	0.093212	16.936	0.791404	8.616999999999999
0.049039	20.426	0.829738	8.511	0.048297	18.23	0.832006	7.8100000000000005	0.048795	17.552000000000003	0.833569	7.5969999999999995	0.05075	15.446	0.834133	6.891	0.050305	15.806000000000001	0.835993	6.7330000000000005	0.05066	15.216999999999999	0.837112	6.289000000000001	0.049593	17.13	0.835291	7.272	0.05004	16.971	0.833044	7.326
0.007685	20.448999999999998	0.870334	6.792000000000001	0.003633	18.241	0.873296	6.218	0.00512	17.585	0.875721	6.042	0.002987	15.461	0.877975	5.433999999999999	0.001707	15.837	0.876593	5.458	0.002874	15.294	0.878673	4.944	0.005871	17.166	0.875372	5.794	0.00727	17.0	0.875743	5.718
-0.038058	20.477	0.913844	4.498	-0.040656	18.287000000000003	0.914698	4.315	-0.037938	17.607000000000003	0.916181	4.257000000000001	-0.039539	15.508	0.919591	3.791	-0.041934	15.876000000000001	0.918419	3.864	-0.03965	15.350000000000001	0.920462	3.254	-0.042415	17.226000000000003	0.918371	3.833	-0.04037	17.05	0.916057	3.92
-0.086621	20.505	0.954492	2.025	-0.085005	18.321	0.956282	1.946	-0.085585	17.65	0.95828	1.975	-0.081909	15.548	0.960353	1.729	-0.085758	15.91	0.959838	1.803	-0.082284	15.403	0.958347	1.385	-0.085785	17.283	0.957757	1.589	-0.087843	17.105999999999998	0.957809	1.6280000000000001
-0.130221	20.535	0.992948	-0.795	-0.133946	18.381999999999998	0.994242	-0.6679999999999999	-0.133438	17.679000000000002	0.996953	-0.6579999999999999	-0.128664	15.625	0.999813	-0.803	-0.129151	15.959999999999999	0.999689	-0.6930000000000001	-0.134516	15.455	0.999506	-1.297	-0.129123	17.338	0.99586	-1.0690000000000002	-0.130648	17.153000000000002	0.995699	-0.9560000000000001
-0.17874	20.593	1.029842	-4.107	-0.17649	18.423	1.033171	-4.018	-0.171648	17.711000000000002	1.033842	-3.722	-0.17725	15.699000000000002	1.035129	-3.6719999999999997	-0.177754	15.998999999999999	1.037642	-3.766	-0.172675	15.549	1.034474	-4.087999999999999	-0.176905	17.419	1.031779	-4.218999999999999	-0.173252	17.207	1.034218	-4.207
-0.217426	20.604999999999997	1.066992	-8.106	-0.218966	18.471	1.069828	-7.83	-0.224382	17.753	1.070811	-7.588	-0.22525	15.778	1.072765	-7.444	-0.220828	16.080000000000002	1.07328	-7.314	-0.226065	15.633999999999999	1.072011	-7.814	-0.219098	17.475	1.069978	-8.349	-0.220781	17.277	1.070772	-7.971000000000001
-0.265692	20.654	1.141133	-17.76	-0.266778	18.522000000000002	1.106465	-12.357999999999999	-0.267252	17.808	1.107145	-12.158999999999999	-0.264242	15.827	1.108896	-11.768	-0.269033	16.132	1.108495	-11.579	-0.264695	15.719000000000001	1.111158	-12.411	-0.266428	17.54	1.141106	-17.636	-0.267961	17.36	1.106453	-12.312
-0.314113	20.708000000000002	1.198683	-26.965	-0.309273	18.596999999999998	1.178665	-22.512	-0.310748	17.829	1.176665	-22.319	-0.312448	15.918000000000001	1.182755	-21.802	-0.306645	16.198	1.178934	-21.569000000000003	-0.313113	15.81	1.185482	-22.343	-0.308699	17.614	1.197058	-26.589000000000002	-0.310452	17.427999999999997	1.18096	-22.622
-0.357588	20.764999999999997	1.240598	-35.659000000000006	-0.356795	18.665999999999997	1.232779	-32.052	-0.353348	17.878	1.229718	-32.284	-0.355787	15.982	1.235618	-30.977	-0.353879	16.278000000000002	1.233418	-31.002	-0.351644	15.896	1.239867	-31.451	-0.3557	17.706	1.238631	-35.268	-0.352937	17.498	1.235635	-32.116
-0.399942	20.8	1.275787	-44.96	-0.399115	18.735000000000003	1.275893	-41.766999999999996	-0.401502	17.937	1.268362	-42.244	-0.399166	16.07	1.278391	-40.394	-0.400816	16.35	1.275725	-40.577000000000005	-0.405253	16.0	1.280556	-40.425999999999995	-0.402279	17.788999999999998	1.274653	-44.866	-0.400289	17.581	1.277295	-41.487
-0.446751	20.865000000000002	1.308979	-55.433	-0.447442	18.798	1.312152	-51.907000000000004	-0.448992	17.993	1.301977	-53.236	-0.447252	16.17	1.316068	-50.497	-0.448224	16.426	1.310607	-50.872	-0.443859	16.096	1.318564	-50.575	-0.444275	17.888	1.308001	-55.717999999999996	-0.447206	17.644	1.31417	-51.54
-0.48892	20.909	1.340166	-66.993	-0.490667	18.866999999999997	1.347586	-63.26	-0.486747	18.055999999999997	1.332904	-65.471	-0.494111	16.259	1.350749	-61.212	-0.490514	16.493000000000002	1.344171	-61.726000000000006	-0.491929	16.192	1.351932	-61.392	-0.491334	17.985	1.33765	-67.423	-0.489628	17.769	1.349256	-62.464999999999996
-0.535586	20.985	1.370077	-79.519	-0.539112	18.946	1.380839	-75.17699999999999	-0.54065	18.113	1.362181	-78.65700000000001	-0.531694	16.336	1.386002	-72.927	-0.537421	16.62	1.376873	-73.93900000000001	-0.538738	16.292	1.383337	-72.77799999999999	-0.533527	18.064	1.366736	-80.187	-0.536686	17.837	1.383656	-74.16499999999999
