B4__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p1__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p1__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p2__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p2__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p3__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p3__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p4__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p4__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p5__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p5__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p6__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p6__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p7__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p7__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p8__1.0Sun__Rv__scan0	B4__cTiO2_spiro__p8__1.0Sun__Fw__scan0	B4__cTiO2_spiro__p8__1.0Sun__Fw__scan0
0.41287	20.023	0.486736	17.794999999999998	0.409475	20.618000000000002	0.487285	18.409	0.405383	23.227999999999998	0.487068	20.706	0.407667	22.055000000000003	0.486845	19.801	0.406848	23.362000000000002	0.488005	20.652	0.408039	21.092	0.486735	18.727	0.409458	19.654999999999998	0.486241	17.608999999999998	0.407382	19.601	0.489674	17.697
0.364455	20.084999999999997	0.531883	17.464	0.363864	20.649	0.53046	18.063	0.365415	23.289	0.532236	20.306	0.363753	22.096	0.532697	19.486	0.36183	23.417	0.533083	20.32	0.368793	21.162	0.531366	18.423	0.365624	19.705000000000002	0.531722	17.326999999999998	0.362387	19.68	0.534827	17.424
0.316103	20.139	0.576204	17.087	0.318914	20.721	0.577169	17.633	0.320798	23.331999999999997	0.5734	19.921999999999997	0.319452	22.137	0.577185	19.149	0.316814	23.465	0.576446	19.958	0.314834	21.22	0.575311	18.088	0.316858	19.762999999999998	0.576064	17.034	0.317256	19.705000000000002	0.57428	17.192
0.276807	20.165	0.623315	16.565	0.273612	20.766	0.619679	17.225	0.271413	23.372	0.618135	19.372	0.275317	22.169999999999998	0.616135	18.834	0.276296	23.493	0.619145	19.534	0.275331	21.26	0.622477	17.614	0.27726	19.77	0.61979	16.665	0.271727	19.739	0.620097	16.747999999999998
0.227645	20.209	0.661985	16.16	0.227955	20.784	0.660652	16.697	0.228452	23.419999999999998	0.662698	18.719	0.227328	22.205	0.665419	18.158	0.225725	23.526	0.664631	18.959	0.23083	21.276	0.664998	17.186	0.228059	19.812	0.666308	16.185000000000002	0.231372	19.757	0.661052	16.312
0.183441	20.259	0.70638	15.436	0.177896	20.809	0.703618	15.980999999999998	0.189996	23.441	0.705059	17.925	0.188293	22.212	0.70543	17.555	0.18855	23.541	0.704905	18.363999999999997	0.181602	21.299	0.706023	16.598000000000003	0.184231	19.822	0.70795	15.678999999999998	0.182863	19.791	0.704096	15.65
0.139224	20.285	0.752212	14.442	0.140237	20.829	0.748012	14.973	0.13714	23.464	0.745149	16.982	0.140005	22.256999999999998	0.749491	16.517	0.142742	23.563000000000002	0.749805	17.367	0.138159	21.304	0.748485	15.793999999999999	0.136412	19.837	0.751056	14.881	0.140813	19.819	0.748322	14.731
0.090282	20.296000000000003	0.789484	13.498	0.097386	20.849	0.790738	13.719	0.093904	23.477999999999998	0.788707	15.540999999999999	0.091713	22.261	0.787866	15.403	0.096167	23.544	0.788777	16.279999999999998	0.094485	21.32	0.792049	14.562000000000001	0.097413	19.814	0.791921	13.92	0.093448	19.808	0.787665	13.682
0.051034	20.306	0.832116	11.953	0.049939	20.882	0.830838	12.23	0.050675	23.479	0.829382	13.833	0.048116	22.270000000000003	0.828893	13.757	0.05036	23.573	0.831331	14.606	0.050949	21.323999999999998	0.83239	13.155	0.049913	19.848000000000003	0.835211	12.449	0.050935	19.819	0.833856	11.984
0.002037	20.336	0.871658	10.192	0.00675	20.849	0.87315	10.179	0.002544	23.509999999999998	0.86921	11.681000000000001	0.003882	22.261	0.86921	11.764999999999999	0.004461	23.586	0.869868	12.663	0.002545	21.335	0.874929	11.151	0.001942	19.859	0.872582	10.901	0.003684	19.814	0.871375	10.344000000000001
-0.037426	20.320999999999998	0.913416	7.845	-0.040917	20.879	0.912726	7.864	-0.041569	23.516	0.905805	9.298	-0.039533	22.256	0.90893	9.317	-0.037255	23.575	0.910106	10.071	-0.04118	21.326999999999998	0.911633	9.081999999999999	-0.040987	19.872	0.912168	8.792	-0.038766	19.819	0.914249	8.018
-0.087163	20.343	0.951739	5.269	-0.088668	20.889000000000003	0.951032	5.199	-0.085995	23.517	0.945941	6.117	-0.086966	22.269000000000002	0.947778	6.46	-0.084315	23.576	0.948947	7.055	-0.084566	21.323	0.950474	6.396	-0.084359	19.861	0.950788	6.231999999999999	-0.081738	19.794	0.954153	5.446000000000001
-0.134932	20.354	0.989697	2.232	-0.127121	20.882	0.987819	2.28	-0.130451	23.509999999999998	0.983227	2.648	-0.129913	22.263	0.986008	3.212	-0.133787	23.572	0.983734	3.9050000000000002	-0.134168	21.348	0.989183	3.229	-0.128373	19.858	0.991116	3.0010000000000003	-0.136416	19.838	0.992965	2.557
-0.172981	20.355	1.028609	-1.343	-0.175842	20.867	1.028103	-1.454	-0.179794	23.517	1.024018	-1.728	-0.177707	22.268	1.023563	-0.397	-0.177904	23.605999999999998	1.02281	-0.306	-0.178611	21.357	1.026979	-0.306	-0.176737	19.846	1.030068	-0.619	-0.176689	19.833	1.031178	-0.64
-0.221028	20.362000000000002	1.06724	-5.392	-0.224355	20.899	1.066249	-5.339	-0.219376	23.512999999999998	1.097253	-11.152000000000001	-0.216041	22.245	1.064567	-4.822	-0.222502	23.594	1.095108	-9.645000000000001	-0.218722	21.354000000000003	1.066348	-4.457	-0.224685	19.861	1.066646	-4.458	-0.221589	19.827	1.071368	-4.355
-0.268474	20.372999999999998	1.143452	-14.55	-0.263826	20.878	1.107369	-9.901	-0.268999	23.522000000000002	1.159549	-19.678	-0.268457	22.268	1.139881	-14.116	-0.266469	23.611	1.154932	-18.157	-0.268262	21.366	1.142551	-13.722	-0.26335	19.874	1.106794	-9.147	-0.271626	19.796999999999997	1.110741	-8.326
-0.306761	20.354	1.206257	-22.411	-0.312334	20.904	1.186278	-19.444	-0.313654	23.518	1.210843	-26.808	-0.311113	22.246	1.205542	-22.572	-0.311133	23.607	1.208979	-26.123	-0.312779	21.37	1.205637	-21.846	-0.311611	19.869	1.183876	-19.098	-0.311408	19.834	1.195857	-17.775
-0.359566	20.385	1.258279	-28.929	-0.361393	20.891	1.250185	-27.283	-0.357953	23.525000000000002	1.253884	-32.917	-0.354394	22.261	1.254922	-29.158	-0.355624	23.599	1.254001	-33.078	-0.357518	21.361	1.255284	-28.491	-0.359757	19.876	1.245457	-27.248	-0.355711	19.841	1.256491	-24.718
-0.403545	20.387	1.299205	-34.441	-0.400554	20.882	1.299572	-33.614	-0.401751	23.529999999999998	1.300692	-39.829	-0.40204	22.264	1.30051	-35.64	-0.404397	23.61	1.299276	-40.516000000000005	-0.402167	21.36	1.297625	-34.596000000000004	-0.398516	19.867	1.29966	-34.772999999999996	-0.401114	19.82	1.297924	-29.721
-0.442705	20.400000000000002	1.346731	-41.304	-0.449008	20.903000000000002	1.3435	-39.937	-0.445334	23.507	1.340826	-46.66	-0.444919	22.281	1.343274	-42.415	-0.447393	23.625	1.341634	-48.381	-0.446475	21.378	1.344295	-41.870999999999995	-0.4467	19.867	1.341716	-41.491	-0.449309	19.823	1.343174	-35.528
-0.496377	20.386000000000003	1.385346	-48.283	-0.487206	20.898	1.388684	-47.349000000000004	-0.493962	23.508000000000003	1.383531	-55.088	-0.492504	22.262	1.39088	-50.696	-0.490269	23.609	1.381636	-56.993	-0.493563	21.375999999999998	1.388722	-49.713	-0.494753	19.868	1.387377	-49.817	-0.491606	19.841	1.389894	-42.149
-0.53547	20.371	1.42538	-56.595	-0.539909	20.897	1.431034	-55.554	-0.537483	23.515	1.420222	-64.02	-0.535442	22.281	1.430191	-58.804	-0.537587	23.647000000000002	1.414932	-65.653	-0.536246	21.377	1.429351	-58.004	-0.532941	19.881	1.425465	-58.387	-0.53434	19.826	1.434949	-49.26
