B3__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Rv__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0	B3__NOcTiO2_spiro__p8__1.0Sun__Fw__scan0
0.413798	19.148	0.471803	11.83	0.406297	19.056	0.475255	12.371	0.409419	19.959999999999997	0.468835	11.562	0.408747	19.490000000000002	0.475273	12.307	0.413341	21.558	0.473948	14.063	0.414191	19.883000000000003	0.474874	12.751999999999999	0.410112	19.705000000000002	0.474215	12.99	0.418319	18.967000000000002	0.472961	12.411
0.362375	19.397000000000002	0.516484	10.187	0.360382	19.203000000000003	0.514886	11.224	0.366744	20.16	0.511764	9.772	0.364793	19.634999999999998	0.519093	10.936	0.360487	21.791999999999998	0.517512	12.604000000000001	0.362219	20.097	0.519721	11.292	0.366036	19.867	0.518086	11.643	0.36123	19.321	0.515516	11.154
0.319751	19.551	0.558174	8.663	0.318906	19.331	0.558793	9.714	0.319425	20.372999999999998	0.554003	7.936999999999999	0.320401	19.762999999999998	0.559728	9.642	0.321301	21.902	0.56029	11.07	0.318915	20.230999999999998	0.561437	9.987	0.317566	20.083	0.561212	10.222999999999999	0.321047	19.368	0.557475	9.834000000000001
0.276683	19.677	0.600871	6.882	0.272168	19.433	0.602173	8.141	0.275847	20.532999999999998	0.597532	5.8149999999999995	0.271333	19.915	0.60408	7.951	0.272502	22.048000000000002	0.604344	9.267	0.274918	20.36	0.607154	8.172	0.272874	20.184	0.603242	8.722999999999999	0.271388	19.477999999999998	0.602616	8.089
0.229111	19.831999999999997	0.643829	4.971	0.225157	19.544	0.645699	6.439	0.227713	20.695999999999998	0.641433	3.558	0.22653	20.001	0.647947	6.156	0.2281	22.163999999999998	0.645634	7.5729999999999995	0.231253	20.435	0.650248	6.5360000000000005	0.228236	20.306	0.647085	6.936999999999999	0.227567	19.654999999999998	0.649059	6.203
0.185684	19.931	0.688218	2.7950000000000004	0.183057	19.594	0.691679	4.436	0.184139	20.817	0.68499	1.256	0.182713	20.069	0.691769	4.286	0.183957	22.253	0.690917	5.333	0.183414	20.552	0.691351	4.898	0.18322	20.378	0.690964	5.042	0.183183	19.756	0.694231	4.244000000000001
0.138111	20.016	0.732424	0.575	0.136736	19.679	0.737193	2.366	0.140954	20.91	0.73004	-1.267	0.144518	20.128	0.735151	2.354	0.142029	22.313	0.733461	3.291	0.140202	20.619	0.734093	3.053	0.140056	20.464	0.736246	2.897	0.13812	19.810000000000002	0.738992	2.258
0.096299	20.117	0.776189	-1.653	0.100403	19.713	0.784256	0.04	0.094385	21.015	0.774841	-3.81	0.092052	20.198	0.779977	0.185	0.095439	22.407	0.777217	0.966	0.09726	20.671	0.778589	0.897	0.093531	20.576	0.778875	0.897	0.093622	19.886999999999997	0.780497	0.424
0.054314	20.177	0.821553	-4.119000000000001	0.051094	19.787	0.826518	-1.8639999999999999	0.051851	21.099	0.819518	-6.325	0.048865	20.249	0.822265	-1.802	0.049163	22.471	0.820545	-1.392	0.049847	20.76	0.822206	-1.222	0.051034	20.608	0.823005	-1.381	0.052601	19.936	0.823427	-1.694
0.003089	20.266	0.863591	-6.343	0.005962	19.834999999999997	0.869441	-4.074000000000001	0.004985	21.171	0.86165	-8.599	0.005904	20.292	0.867373	-4.282	0.00685	22.519000000000002	0.863926	-3.974	0.001812	20.801	0.867889	-3.679	0.008698	20.677999999999997	0.864395	-3.606	0.007337	19.992	0.865124	-3.839
-0.039271	20.327	0.906867	-8.861	-0.034591	19.878	0.909429	-6.14	-0.037233	21.244	0.90753	-11.366	-0.042039	20.349	0.909467	-6.559	-0.03959	22.576	0.905952	-6.559	-0.040983	20.851000000000003	0.910756	-6.007000000000001	-0.042989	20.747	0.90668	-6.128	-0.037761	20.048	0.907304	-6.2620000000000005
-0.086197	20.358	0.95131	-11.663	-0.08395	19.934	0.949907	-8.524000000000001	-0.084587	21.288999999999998	0.950891	-13.911	-0.084952	20.389	0.952156	-9.206000000000001	-0.081434	22.611	0.946474	-9.272	-0.084061	20.886	0.952219	-8.452	-0.085668	20.792	0.947544	-8.773	-0.083468	20.091	0.948376	-8.811
-0.128683	20.413	0.993545	-14.379	-0.131189	19.982	0.989489	-11.028	-0.13176	21.357	0.996682	-16.858	-0.128678	20.412	0.993693	-11.919	-0.129294	22.677	0.98961	-12.55	-0.132105	20.944	0.996625	-11.448	-0.128248	20.825	0.990961	-11.941	-0.129031	20.126	0.992083	-11.872
-0.177075	20.476000000000003	1.037935	-17.423000000000002	-0.177896	20.0	1.034568	-14.305	-0.176426	21.364	1.04023	-19.61	-0.176992	20.456	1.036671	-14.965	-0.177894	22.721999999999998	1.032983	-16.064	-0.175598	20.969	1.037692	-14.241999999999999	-0.176289	20.892	1.035124	-15.376000000000001	-0.170124	20.160999999999998	1.037556	-15.206000000000001
-0.220943	20.505	1.082633	-20.452	-0.224228	20.018	1.08187	-17.794	-0.224757	21.443	1.086003	-22.563	-0.220389	20.483	1.081955	-18.255	-0.221351	22.737000000000002	1.076078	-19.563	-0.218992	21.005	1.082123	-17.551000000000002	-0.22031	20.907	1.079515	-18.793	-0.223552	20.195	1.081269	-18.334
-0.264439	20.53	1.131022	-23.535	-0.270788	20.055	1.130114	-21.211000000000002	-0.264094	21.446	1.133453	-25.356	-0.269146	20.514999999999997	1.125969	-21.331	-0.269746	22.790000000000003	1.121683	-23.294999999999998	-0.267045	21.041	1.124059	-20.56	-0.268477	20.961000000000002	1.124631	-22.173	-0.268856	20.229	1.127411	-21.652
-0.312978	20.575	1.176125	-26.025	-0.312251	20.086	1.177837	-24.268	-0.312419	21.493000000000002	1.178434	-27.743	-0.312719	20.53	1.173283	-24.441000000000003	-0.308735	22.802	1.168112	-26.841	-0.315223	21.068	1.168503	-23.798	-0.31178	20.997	1.170086	-25.38	-0.314243	20.26	1.170942	-24.348000000000003
-0.356549	20.589	1.224061	-28.557	-0.36426	20.13	1.218319	-26.781	-0.357147	21.514	1.223911	-30.061	-0.356161	20.587	1.217578	-27.317	-0.357165	22.838	1.211328	-30.108	-0.353788	21.105	1.213204	-27.076	-0.35537	21.002	1.21436	-28.57	-0.359193	20.304	1.216964	-27.254
-0.405522	20.59	1.269077	-31.327	-0.400574	20.137999999999998	1.260859	-29.729	-0.405749	21.555999999999997	1.267012	-32.609	-0.399999	20.589	1.260998	-30.523999999999997	-0.400946	22.873	1.254041	-33.806000000000004	-0.401613	21.122	1.257901	-30.752000000000002	-0.403406	21.073999999999998	1.254059	-32.079	-0.39947	20.304	1.260319	-30.333
-0.444027	20.634	1.303848	-34.532000000000004	-0.45133	20.207	1.295236	-32.986000000000004	-0.444341	21.618	1.306214	-35.833999999999996	-0.44759	20.642	1.297904	-34.238	-0.448986	22.934	1.290285	-38.051	-0.444955	21.197	1.294735	-34.662	-0.441555	21.123	1.290545	-36.234	-0.44891	20.412	1.297392	-33.815999999999995
-0.489939	20.75	1.33589	-38.858	-0.486079	20.322	1.331595	-37.375	-0.489624	21.787	1.339446	-40.053	-0.488958	20.782999999999998	1.329425	-38.809999999999995	-0.490892	23.064	1.358012	-46.576	-0.492499	21.313	1.366304	-42.812000000000005	-0.491491	21.311	1.364609	-45.358999999999995	-0.492589	20.547	1.335047	-38.695
-0.533926	20.937	1.37125	-44.81	-0.531562	20.622	1.356257	-42.158	-0.532838	22.119	1.380497	-46.246	-0.533196	21.045	1.346545	-43.141	-0.531039	23.279999999999998	1.333883	-48.411	-0.533316	21.576	1.345876	-44.37	-0.529877	21.595	1.339648	-47.241	-0.531914	20.865000000000002	1.393692	-46.93
