B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p1__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p2__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p3__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p4__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p5__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p6__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p7__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Rv__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0	B1__NOcTiO2_ptaa__p8__1.0Sun__Fw__scan0
0.409268	17.182	0.480976	13.629999999999999	0.393136	-7.1739999999999995	0.470719	4.534	0.416434	2.281	0.461389	7.173	0.403668	11.719999999999999	0.482062	11.308	0.413533	14.272	0.481602	13.129999999999999	0.409183	15.14	0.48421	12.645	0.414222	15.533	0.48072	13.458	0.448866	-0.111	0.459832	0.38499999999999995
0.365845	17.23	0.523749	12.769	0.459703	0.094	0.488381	1.16	0.428273	4.283	0.519369	5.728	0.340942	9.939	0.529127	10.847000000000001	0.365655	14.491999999999999	0.525068	12.447	0.364672	15.177	0.524734	12.042	0.358693	15.405999999999999	0.526089	12.85	0.404726	2.568	0.50143	-1.7799999999999998
0.316629	17.204	0.56197	11.549999999999999	0.432801	0.9219999999999999	0.55506	-0.7060000000000001	0.324315	4.589	0.553867	3.96	0.324498	10.57	0.554025	9.063999999999998	0.321393	14.611	0.567368	11.643	0.319762	15.181999999999999	0.567481	11.251000000000001	0.316397	15.187000000000001	0.569232	12.112	0.339154	4.005	0.547222	-4.113
0.278573	17.294	0.60963	10.355	0.328797	4.583	0.58582	-3.6740000000000004	0.300951	6.635000000000001	0.589676	1.201	0.309214	13.157	0.613457	8.11	0.272166	14.761	0.611571	10.615	0.270687	15.226999999999999	0.612842	10.272	0.285292	15.852000000000002	0.612597	10.964	0.293596	5.567	0.58921	-6.917999999999999
0.230891	17.418	0.653324	8.792	0.265361	7.39	0.645608	-5.944	0.24545	8.113999999999999	0.634914	-1.297	0.24285	14.127	0.657655	7.426	0.227787	14.850999999999999	0.654505	9.485999999999999	0.231238	15.225999999999999	0.657072	9.196	0.232663	15.979000000000001	0.655378	9.801	0.249563	7.261	0.634701	-9.804
0.18291	17.546	0.704194	7.783	0.212512	9.978000000000002	0.682263	-8.468	0.205523	9.658	0.700173	-2.5709999999999997	0.189989	14.64	0.694931	5.8500000000000005	0.18341	14.964	0.698056	7.933000000000001	0.1819	15.26	0.700877	8.018	0.185374	16.142	0.69528	8.392	0.207582	9.116000000000001	0.667634	-13.288
0.139482	17.648	0.749779	7.2	0.163338	12.068000000000001	0.7295	-10.9	0.166496	12.030000000000001	0.746582	-3.419	0.140876	14.992999999999999	0.74622	4.705	0.138757	15.063	0.741175	6.315	0.142434	15.287	0.743335	6.762	0.138138	16.285999999999998	0.737295	6.842	0.160811	11.014	0.705443	-17.45
0.096016	17.733999999999998	0.786833	5.9670000000000005	0.122931	14.454	0.75988	-13.950000000000001	0.127049	14.307	0.778822	-5.384	0.103664	15.494000000000002	0.781236	3.003	0.095631	15.14	0.784999	4.772	0.093404	15.325999999999999	0.787154	5.266	0.095765	16.363	0.783573	5.244000000000001	0.11299	12.766	0.796079	-25.578
0.048466	17.848	0.828698	4.021	0.063355	15.445	0.810109	-16.901	0.067648	15.674000000000001	0.84624	-5.744	0.05463	15.86	0.830082	1.65	0.055126	15.238	0.826088	3.021	0.050244	15.342	0.829773	3.662	0.053525	16.468	0.82552	3.316	0.069944	14.128	0.839341	-31.132
0.004728	17.944000000000003	0.867901	2.25	0.017223	16.277	0.866269	-19.02	0.014622	16.8	0.891496	-6.106	0.009061	16.083	0.868297	-0.15	0.004986	15.282	0.867928	0.9219999999999999	0.006757	15.373	0.870969	1.943	0.006807	16.605999999999998	0.866959	1.381	0.020679	15.41	0.915753	-37.164
