B7__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p1__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p2__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p3__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p4__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p5__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p6__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Rv__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0	B7__NOcTiO2_spiro__p7__1.0Sun__Fw__scan0
0.321276	18.679000000000002	0.56219	8.761	0.319413	17.848	0.561885	8.146	0.320894	19.397000000000002	0.561393	9.978000000000002	0.322938	17.544	0.558238	5.911	0.323571	21.261	0.560619	10.562	0.345441	7.922000000000001	0.581262	-13.491	0.366262	-62.226	0.526767	-89.063
0.272258	18.806	0.604939	7.276000000000001	0.276719	17.971	0.604792	6.675999999999999	0.278757	19.539	0.604209	8.452	0.275034	17.76	0.602026	4.158	0.275338	21.305999999999997	0.605946	8.758999999999999	0.295705	9.894	0.641283	-15.658999999999999	0.315993	-51.224	0.578992	-100.009
0.233053	18.871	0.649374	5.528	0.229529	18.11	0.649746	4.95	0.226233	19.659	0.649168	6.687	0.22728	17.983	0.645695	2.3280000000000003	0.230306	21.628	0.646664	7.161	0.245491	11.476	0.656642	-16.743000000000002	0.266331	-40.446000000000005	0.59845	-104.03999999999999
0.183064	19.003	0.690915	3.9259999999999997	0.180943	18.203	0.691174	3.404	0.188056	19.729	0.690741	5.029	0.184226	18.145000000000003	0.691239	0.27399999999999997	0.187766	21.773	0.688754	5.326	0.200512	13.05	0.685063	-19.355	0.218919	-30.215	0.598575	-104.041
0.141627	19.044999999999998	0.736782	1.8370000000000002	0.142181	18.281	0.73678	1.4400000000000002	0.135247	19.834	0.736408	2.958	0.143092	18.288	0.734189	-1.606	0.13996	21.878	0.732368	3.27	0.152341	14.024	0.714099	-22.578	0.172083	-20.197	0.597552	-104.137
0.09594	19.09	0.779874	-0.092	0.093466	18.371	0.780011	-0.374	0.097147	19.877	0.781218	0.8180000000000001	0.097401	18.443	0.778944	-3.725	0.092105	22.012	0.775487	1.145	0.111953	15.487	0.759026	-26.084	0.124396	-10.283000000000001	0.602094	-103.789
0.054876	19.15	0.824347	-2.2569999999999997	0.049374	18.429000000000002	0.82473	-2.39	0.049669	19.939999999999998	0.823086	-1.22	0.051478	18.591	0.823733	-5.843	0.048991	22.076999999999998	0.820618	-1.266	0.066949	16.863	0.826344	-27.932	0.075001	-0.051	0.601197	-103.865
0.004554	19.21	0.867853	-4.4910000000000005	0.000533	18.514	0.869024	-4.537	0.006595	19.993000000000002	0.865364	-3.505	0.005541	18.743	0.865613	-7.82	0.005164	22.154	0.862796	-3.625	0.020318	18.093999999999998	0.913293	-27.033	0.026103	9.357000000000001	0.603457	-103.69399999999999
-0.036704	19.232	0.909205	-6.747000000000001	-0.038681	18.557000000000002	0.910217	-6.538	-0.040627	20.034	0.908521	-6.155	-0.040595	18.869	0.911426	-10.26	-0.042699	22.217000000000002	0.90784	-6.478000000000001	-0.026762	19.279	0.947617	-26.328	-0.025269	18.513	0.6051	-103.575
-0.084241	19.282	0.951262	-9.313	-0.087297	18.634999999999998	0.954882	-9.076	-0.084028	20.069	0.950264	-8.869	-0.082033	18.973	0.956265	-12.757	-0.08135	22.242	0.949282	-9.259	-0.070402	20.369999999999997	0.98098	-26.838	-0.075403	26.968	0.606902	-103.437
-0.131727	19.327	0.992345	-11.937	-0.131185	18.686999999999998	0.998226	-11.674999999999999	-0.131276	20.122	0.992775	-11.972	-0.129807	19.111	0.997836	-15.128	-0.134552	22.31	0.99137	-12.357999999999999	-0.119023	21.554	1.024674	-27.674	-0.122256	34.998000000000005	0.600812	-103.894
-0.175591	19.337	1.037233	-15.09	-0.178295	18.754	1.040844	-14.322	-0.179361	20.181	1.034465	-14.989	-0.172588	19.206	1.043712	-17.966	-0.178238	22.346	1.033879	-15.687	-0.150109	23.325	1.048172	-30.044	-0.169516	43.022999999999996	0.600942	-103.867
-0.223905	19.387	1.081784	-18.106	-0.21629	18.773000000000003	1.085369	-17.09	-0.217669	20.177	1.078653	-18.235	-0.225253	19.328000000000003	1.087762	-20.615000000000002	-0.216454	22.387	1.076232	-19.031	-0.19212	25.763	1.087982	-32.721000000000004	-0.217147	51.116	0.603986	-103.645
-0.262552	19.393	1.130912	-21.142	-0.26861	18.844	1.130781	-19.843	-0.265554	20.215	1.124665	-21.34	-0.263491	19.419	1.13246	-23.156	-0.268574	22.43	1.119166	-22.354	-0.219393	29.362	1.127247	-35.575	-0.266267	58.798	0.617601	-102.583
-0.3157	19.45	1.177024	-23.653	-0.311758	18.868	1.175113	-22.264	-0.313605	20.255	1.173409	-24.27	-0.31116	19.544999999999998	1.178532	-25.599	-0.311515	22.477	1.167693	-25.999000000000002	-0.25591	33.775	1.177361	-38.308	-0.313086	65.648	0.577846	-105.622
-0.354688	19.456999999999997	1.22575	-26.276999999999997	-0.355832	18.801	1.221835	-24.987	-0.357099	20.278000000000002	1.219946	-26.997	-0.35407	19.621	1.226645	-28.145	-0.354531	22.482	1.211171	-29.3	-0.330126	43.49	1.20625	-41.991	-0.358454	71.779	0.572137	-106.037
-0.402149	19.512999999999998	1.264838	-29.099	-0.398482	18.835	1.263727	-28.07	-0.400067	20.325	1.262421	-30.028	-0.401683	19.761	1.265302	-30.624	-0.401791	22.558999999999997	1.253124	-33.114	-0.390246	52.255	1.264823	-44.907999999999994	-0.404324	77.454	0.574147	-105.901
-0.443583	19.618	1.298405	-32.668	-0.44631	18.914	1.297476	-31.794000000000004	-0.447156	20.442999999999998	1.29916	-33.889	-0.447791	19.91	1.303059	-33.925999999999995	-0.443625	22.686999999999998	1.286857	-37.494	-0.438549	60.605	1.306984	-48.047	-0.454891	82.055	0.575842	-105.765
-0.488817	19.829	1.327998	-37.316	-0.493369	19.106	1.329998	-36.732	-0.488366	20.649	1.32882	-38.607	-0.487766	20.159	1.337388	-38.237	-0.488876	22.967000000000002	1.350325	-46.68	-0.488387	68.59	1.331822	-52.468	-0.507044	83.94600000000001	0.596129	-104.209
-0.530983	20.264	1.399601	-47.731	-0.533767	19.421	1.350075	-41.473000000000006	-0.531485	21.11	1.354422	-44.338	-0.52977	20.602	1.384094	-45.061	-0.531078	23.494999999999997	1.33061	-48.154	-0.507755	77.86	1.427423	-61.004000000000005	-0.559997	82.152	0.596668	-104.14800000000001
